008,100,245,500,856,LDR
070529s9999    xx            000 0 und d,"Amundsen, Roald, 1872-1928.",The South Pole [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00111.txt,00304nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Banfield, E. J. (Edmund James), 1852-1923.",My Tropic Isle [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00004.txt,00320nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Banfield, E. J. (Edmund James), 1852-1923.",Tropic Days [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00005.txt,00317nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Banfield, E. J. (Edmund James), 1852-1923.",Confessions of a Beachcomber [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00056.html,00335nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Becke, Louis, 1855-1913.",By Reef and Palm and Other Stories [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00001.txt,00321nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Becke, Louis, 1855-1913.",By Rock and Pool and Other Stories [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00002.txt,00321nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Becke, Louis, 1855-1913.",The Naval Pioneers of Australia [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00003.txt,00318nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Beetson, Joseph Livesley, 1859-1921.",Five Months an Anzac [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00006.txt,00319nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Belt, Thomas, 1832-1878.",The Naturalist in Nicaragua [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00007.txt,00314nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Bligh, William, 1754-1817.",Voyage to the South Sea [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00041.html,00313nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Bligh, William, 1754-1817.",Narrative of the Mutiny on Board His Majesty's Ship Bounty [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00085.txt,00347nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Boldrewood, Rolf, 1826-1915.",Robbery Under Arms [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00008.txt,00309nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Boldrewood, Rolf, 1826-1915.",Shearing in the Riverina [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00009.txt,00315nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Cambridge, Ada, 1844-1926.",Sisters [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00019.txt,00296nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Carboni, Raffaello, 1817-1875.",The Eureka Stockade [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00015.txt,00312nam  2200085ua 45e0
